index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,44.53200000000015,44.53479,0.0
1,task-5-1,vm1,0.008002,-1.0,300.11018,0.0
2,task-8-2,vm4,0.00951,48.42200000000048,48.432078,0.0
3,task-2-3,vm2,0.00951,8.905999999999949,8.920271,0.0
4,task-10-4,vm4,0.010523,54.82800000000043,54.842276,0.0
5,task-3-5,vm2,0.010523,8.016000000000531,8.036642,0.0
7,task-4-7,vm3,0.011525,21.82800000000043,21.837043,0.0
8,task-7-8,vm4,0.011525,64.71900000000005,64.735356,0.0
10,task-9-10,vm4,0.012523,69.8130000000001,69.829754,0.0
12,task-7-12,vm4,0.012523,60.10900000000038,60.130173,0.0
13,task-9-13,vm3,0.013521,30.75,30.771665,0.0
17,task-5-17,vm4,0.013521,61.70300000000043,61.725578,0.0
19,task-10-19,vm3,0.01452,41.98400000000038,41.996917,0.0
20,task-6-20,vm4,0.01452,57.09400000000005,57.10892,0.0
21,task-5-21,vm3,0.01452,44.71900000000005,44.740078,0.0
9,task-3-9,vm2,8.037645,39.1869999999999,47.225718,8.016000000000531
11,task-1-11,vm2,8.920271,38.42200000000048,47.35225,8.905999999999949
27,task-4-27,vm3,21.837043,74.78099999999995,96.629825,21.82800000000043
32,task-7-32,vm3,30.771665,71.85900000000038,102.628661,30.75
35,task-8-35,vm3,41.996917,67.375,109.380677,41.98400000000038
24,task-10-24,vm4,44.53479,82.96799999999985,127.505637,44.51600000000053
37,task-5-37,vm3,44.740488,67.64000000000033,112.374188,44.71900000000005
14,task-1-14,vm2,47.22672,60.875,108.09931,47.20300000000043
15,task-8-15,vm2,47.352655,76.25,123.609961,47.34400000000005
26,task-4-26,vm4,48.432078,80.07799999999952,128.513787,48.42200000000048
28,task-7-28,vm4,54.842276,109.34400000000005,164.195662,54.82800000000043
30,task-9-30,vm4,57.10892,112.15599999999995,169.27365,57.09400000000005
33,task-9-33,vm4,60.130173,114.5630000000001,174.694544,60.10900000000038
34,task-1-34,vm4,61.726582,112.96900000000005,174.695561,61.70300000000043
36,task-2-36,vm4,64.735356,109.96900000000005,174.696554,64.71900000000005
39,task-2-39,vm4,69.829754,105.32800000000043,175.150492,69.8130000000001
41,task-4-41,vm3,96.629825,84.625,181.243875,96.60900000000038
42,task-5-42,vm3,102.628661,81.90700000000015,184.53517,102.60900000000038
18,task-6-18,vm2,108.100305,42.875,150.977528,108.07800000000043
45,task-3-45,vm3,109.381676,75.67199999999957,185.043642,109.35900000000038
48,task-6-48,vm3,112.3752,76.78200000000015,189.152092,112.35900000000038
22,task-8-22,vm2,123.609961,55.48400000000038,179.100528,123.59400000000005
40,task-3-40,vm4,127.505637,77.28200000000015,204.77505,127.48400000000038
43,task-6-43,vm4,128.513787,78.25,206.767697,128.5
23,task-2-23,vm2,150.977528,106.0,256.974321,150.95300000000043
46,task-4-46,vm4,164.195662,43.71900000000005,207.904668,164.17200000000048
47,task-9-47,vm4,169.274167,44.21900000000005,213.478614,169.25
38,task-6-38,vm2,179.100528,86.82799999999952,265.922231,179.07800000000043
6,task-4-6,vm1,300.11018,-1.0,600.702213,300.09400000000005
16,task-2-16,vm1,600.702213,-1.0,900.788266,600.6880000000001
25,task-3-25,vm1,900.788266,203.0619999999999,1103.843996,900.7660000000005
29,task-3-29,vm1,1103.845009,46.71900000000005,1150.555795,1103.8280000000004
31,task-1-31,vm1,1150.556795,98.92199999999957,1249.490022,1150.5470000000005
44,task-1-44,vm1,1249.490022,122.375,1371.862423,1249.469
49,task-7-49,vm1,1371.864435,-1.0,1595.005143,1371.844
