index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,36.141000000000076,36.13928,0.0
1,task-5-1,vm4,0.012014,37.65599999999995,37.679987,0.0
2,task-8-2,vm3,0.012014,53.34299999999985,53.356633,0.0
3,task-2-3,vm4,0.013011,37.922000000000025,37.946577,0.0
4,task-10-4,vm3,0.013011,45.9369999999999,45.950352,0.0
5,task-3-5,vm4,0.014012,51.625,51.645765,0.0
6,task-4-6,vm1,0.015011,38.5619999999999,38.575576,0.0
7,task-4-7,vm3,0.015011,55.233999999999924,55.246144,0.0
8,task-7-8,vm4,0.016012,40.96799999999985,40.988966,0.0
9,task-3-9,vm3,0.017012,34.1869999999999,34.200535,0.0
10,task-9-10,vm4,0.018012,46.13999999999987,46.151497,0.0
12,task-7-12,vm2,0.018012,41.1869999999999,41.209035,0.0
13,task-9-13,vm4,0.019012,51.047000000000025,51.066843,0.0
15,task-8-15,vm2,0.019012,30.40599999999995,30.420321,0.0
16,task-2-16,vm4,0.020012,51.922000000000025,51.943274,0.0
27,task-4-27,vm2,30.421301,55.077999999999975,85.508136,30.40599999999995
11,task-1-11,vm3,34.201535,63.53099999999995,97.732097,34.1869999999999
17,task-5-17,vm4,36.13928,75.17200000000003,111.319964,36.125
18,task-6-18,vm4,37.680991,75.85899999999992,113.525726,37.65599999999995
21,task-5-21,vm4,37.946577,77.15599999999995,115.092478,37.922000000000025
20,task-6-20,vm1,38.575576,81.9380000000001,120.514037,38.5619999999999
22,task-8-22,vm4,40.98997,78.11000000000013,119.096523,40.96799999999985
29,task-3-29,vm2,41.209035,46.25,87.459513,41.1869999999999
14,task-1-14,vm3,45.951347,51.90599999999995,97.856468,45.9369999999999
24,task-10-24,vm4,46.151497,79.14100000000008,125.29518,46.13999999999987
26,task-4-26,vm4,51.066843,75.29599999999982,126.358118,51.047000000000025
28,task-7-28,vm4,51.646763,77.67200000000003,129.309129,51.625
30,task-9-30,vm4,51.943274,82.375,134.307811,51.922000000000025
19,task-10-19,vm3,53.356633,55.375,108.742383,53.34299999999985
32,task-7-32,vm3,55.247146,58.875,114.121128,55.233999999999924
37,task-5-37,vm2,85.508136,42.547000000000025,128.046525,85.48399999999992
38,task-6-38,vm2,87.459513,48.5630000000001,136.010776,87.4369999999999
35,task-8-35,vm3,97.733097,76.86000000000013,174.591933,97.71799999999985
39,task-2-39,vm3,97.856468,77.15700000000015,175.014796,97.84299999999985
40,task-3-40,vm3,108.742383,67.28200000000015,176.014467,108.71799999999985
31,task-1-31,vm4,111.319964,44.108999999999924,155.41901,111.29700000000003
33,task-9-33,vm4,113.525726,46.8130000000001,160.352108,113.51499999999987
48,task-6-48,vm3,114.121128,65.76600000000008,179.894673,114.10899999999992
34,task-1-34,vm4,115.092478,45.34400000000005,160.445755,115.07799999999997
43,task-6-43,vm4,119.098191,43.547000000000025,162.643765,119.07799999999997
23,task-2-23,vm1,120.514037,42.483999999999924,163.003974,120.5
44,task-1-44,vm4,125.29518,37.4369999999999,162.737558,125.28099999999995
47,task-9-47,vm4,126.358118,75.53200000000015,201.891032,126.34299999999985
41,task-4-41,vm2,128.047523,53.34400000000005,181.386441,128.03099999999995
49,task-7-49,vm4,129.309129,75.59299999999985,204.903341,129.29700000000003
45,task-3-45,vm2,136.010776,47.3119999999999,183.327671,136.0
25,task-3-25,vm1,163.003974,52.46900000000005,215.47508,162.98399999999992
36,task-2-36,vm1,215.476081,22.202999999999975,237.675592,215.45299999999997
42,task-5-42,vm1,237.675592,101.67200000000003,339.344423,237.65599999999995
46,task-4-46,vm1,339.345424,181.82800000000043,521.178505,339.328
