index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm1,0.0,-1.0,49.87776,0.0
1,task-1-1,vm2,0.00327,0.26599999999962165,0.266452,0.0
2,task-10-2,vm3,0.005842,11.0470000000023,11.051491,0.0
3,task-1-3,vm4,0.005842,6.110000000000582,6.112775,0.0
5,task-1-5,vm2,0.006662,0.5,0.500287,0.0
6,task-1-6,vm3,0.006662,11.18800000000192,11.192563,0.0
7,task-10-7,vm4,0.007192,6.015999999999622,6.020717,0.0
10,task-1-10,vm3,0.007518,11.31300000000192,11.320491,0.0
11,task-10-11,vm4,0.007518,30.07800000000134,30.084705,0.0
14,task-1-14,vm3,0.00782,11.453000000001339,11.447418,0.0
15,task-1-15,vm4,0.00782,18.20300000000134,18.199479,0.0
19,task-10-19,vm4,0.00782,18.110000000000582,18.114178,0.0
23,task-10-23,vm4,0.00885,24.14099999999962,24.136601,0.0
27,task-10-27,vm4,0.00885,12.110000000000582,12.118101,0.0
9,task-10-9,vm2,0.266452,22.75,23.009594,0.26599999999962165
13,task-10-13,vm2,0.500287,44.89099999999962,45.399213,0.5
18,task-1-18,vm3,11.051491,0.5309999999990396,11.571745,11.0470000000023
22,task-10-22,vm3,11.192563,11.56199999999808,22.748844,11.18800000000192
26,task-1-26,vm3,11.320491,11.56199999999808,22.877988,11.31300000000192
17,task-10-17,vm2,23.009594,83.09400000000096,106.117133,23.01599999999962
21,task-1-21,vm2,45.399763,60.93800000000192,106.350617,45.40599999999904
4,task-10-4,vm1,49.87776,-1.0,136.680977,49.875
25,task-10-25,vm2,106.117133,87.98400000000038,194.094097,106.11000000000058
29,task-10-29,vm2,106.350617,109.84400000000096,216.183696,106.34400000000096
8,task-1-8,vm1,136.680977,56.2029999999977,192.898766,136.68800000000192
12,task-1-12,vm1,192.898766,39.71900000000096,232.614872,192.89099999999962
16,task-10-16,vm1,232.614872,-1.0,281.136557,232.61000000000058
20,task-1-20,vm1,281.136557,44.88999999999942,326.036839,281.1409999999996
24,task-1-24,vm1,326.036839,29.5,355.529479,326.03099999999904
28,task-10-28,vm1,355.530053,-1.0,408.413438,355.53099999999904
