index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm1,0.0,6.294099818000177,6.294077,4.105000016352278e-06
1,task-1-1,vm2,0.002312,1.0689962009998908,1.071298,2.738000148383435e-06
2,task-1-2,vm3,0.002491,14.483705816999873,14.486185,1.7889999526232714e-06
3,task-1-3,vm4,0.002629,33.70563568600005,33.708249,1.5279999843187397e-06
5,task-1-5,vm2,0.002768,1.3752890979999393,1.37804,1.5969999367371202e-06
6,task-1-6,vm3,0.002882,14.622328296999967,14.625203,1.4300001112133032e-06
7,task-10-7,vm4,0.003055,44.339559321000024,44.342596,3.2539999210712267e-06
10,task-1-10,vm3,0.003189,14.756835133000095,14.760009,1.4830000054644188e-06
11,task-1-11,vm4,0.003342,35.518038583999896,35.521367,1.2210000477352878e-06
14,task-1-14,vm3,0.003446,14.896393435999926,14.899822,1.1119998362119077e-06
15,task-1-15,vm4,0.003542,33.82884440499993,33.832378,1.1209999684069771e-06
19,task-1-19,vm4,0.003642,35.64815211300015,35.65178,1.0669998573575867e-06
23,task-1-23,vm4,0.003743,35.39208955699996,35.395815,9.96999915514607e-07
27,task-4-27,vm4,0.003841,35.37326357200004,35.377087,1.3010001111979363e-06
31,task-1-31,vm4,0.003933,35.77705603499999,35.780974,1.0349999683967326e-06
9,task-1-9,vm2,1.071377,1.308738824999864,2.380099,1.0681910789999165
13,task-1-13,vm2,1.378193,1.2281499260000146,2.606327,1.3747413419998793
17,task-1-17,vm2,2.380256,2.8901902610000434,5.270434,2.3766145399999914
21,task-1-21,vm2,2.606445,2.6651991420001195,5.271633,2.6026980830001776
25,task-1-25,vm2,5.270641,5.665626718999874,10.93625,5.266797334000103
29,task-1-29,vm2,5.271977,5.5286372660000325,10.800602,5.268036961000007
4,task-1-4,vm1,6.294281,2.472643559000062,8.766906,6.29150881999999
8,task-1-8,vm1,8.767009,2.852293258000145,11.619283,8.763826537999876
33,task-1-33,vm2,10.800694,1.738638071999958,12.539312,10.796670231000007
37,task-1-37,vm2,10.936356,1.91146814800004,12.847806,10.932324203999997
12,task-1-12,vm1,11.619417,16.05576505299996,27.675165,11.615970801999993
41,task-1-41,vm2,12.539462,1.8157717250001042,14.355216,12.535414684999978
45,task-1-45,vm2,12.847938,1.7467453169999771,14.59467,12.843886631999794
49,task-1-49,vm2,14.355358,1.8706718759999603,16.226011,14.351295539000148
18,task-1-18,vm3,14.486268,21.977953726999885,36.464206,14.48263063000013
53,task-1-53,vm2,14.594761,1.8376515220002148,16.432393,14.590158017000022
22,task-1-22,vm3,14.625264,21.97742094199998,36.60267,14.621519668000019
26,task-8-26,vm3,14.760091,28.808371349000026,43.568444,14.756252245000042
30,task-1-30,vm3,14.899954,28.769046316999948,43.668987,14.89601523600004
57,task-1-57,vm2,16.226164,5.010916624999936,21.237059,16.22152804999996
61,task-1-61,vm2,16.432534,5.118912275999946,21.551429,16.427908613
65,task-1-65,vm2,21.23721,1.8413052959999732,23.078496,21.232585466000046
69,task-1-69,vm2,21.551557,1.8432150860001002,23.394754,21.546921508999958
73,task-2-73,vm2,23.078656,3.1329896180000105,26.211632,23.074008219000007
