index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm4,0.0,0.12160840600017764,0.121592,4.293000074540032e-06
1,task-1-1,vm3,0.002379,0.16062312299982295,0.162987,2.8869999368907884e-06
2,task-1-2,vm4,0.002547,0.20886679200020808,0.211394,2.031000349234091e-06
3,task-1-3,vm4,0.002682,11.812815290999879,11.815479,1.3910002962802537e-06
4,task-1-4,vm2,0.00281,0.2833605300002091,0.286158,1.9389999579288997e-06
5,task-1-5,vm3,0.002918,0.5894854820003275,0.59239,1.4749998626939487e-06
6,task-1-6,vm4,0.003086,10.179881958999886,10.182956,1.9529998098732904e-06
7,task-10-7,vm4,0.003217,8.512983351000003,8.516192,3.3540000003995374e-06
8,task-1-8,vm3,0.003372,0.44780475200013825,0.451162,1.2999998943996616e-06
9,task-1-9,vm1,0.003476,62.901780043000144,62.905236,1.187000179925235e-06
10,task-1-10,vm2,0.003568,0.5155276769996817,0.519075,1.0730000212788582e-06
11,task-1-11,vm3,0.003654,0.2945585789998404,0.2982,1.0009998732130043e-06
34,task-6-34,vm4,0.003801,2.4243981099998564,2.428179,1.3399999261309858e-06
36,task-5-36,vm4,0.0039,10.072781834000125,10.076648,1.0010003279603552e-06
47,task-5-47,vm4,0.004007,11.760375506999935,11.764367,1.0670000847312622e-06
56,task-9-56,vm4,0.121734,16.658191200000147,16.779913,0.11703980599986608
12,task-1-12,vm3,0.163106,0.5706536289999349,0.733742,0.15935024400005204
94,task-4-94,vm4,0.211552,17.592289447999974,17.803827,0.20679248600026767
13,task-1-13,vm2,0.286266,0.4702127250002377,0.756464,0.28249975100015945
14,task-1-14,vm3,0.298324,0.5661925730000803,0.864505,0.29455524200011496
15,task-1-15,vm3,0.451282,0.5443931139998313,0.995651,0.4475116940002408
17,task-1-17,vm2,0.51924,0.4722948699995868,0.991515,0.5154557089999798
18,task-1-18,vm3,0.592508,0.6232233840000845,1.21572,0.5887358370000584
19,task-1-19,vm3,0.733895,0.5318590560000303,1.265739,0.7301077360002637
20,task-1-20,vm2,0.756588,0.469953097999678,1.226522,0.75280429500026
21,task-1-21,vm3,0.864578,0.5302592329999243,1.394817,0.8607990079999581
24,task-1-24,vm2,0.991692,0.4677556500000719,1.459427,0.9878712129998348
22,task-1-22,vm3,0.995744,0.5415389590002633,1.537267,0.9919617499999731
25,task-1-25,vm3,1.215816,0.45410006800011615,1.669896,1.2120224169998437
27,task-4-27,vm2,1.22694,3.880447183999877,5.107367,1.2231392640001104
26,task-8-26,vm3,1.265857,7.943980319000275,9.209828,1.2620618600003581
64,task-1-64,vm3,1.394973,7.95159214899968,9.346542,1.3902541739998924
38,task-1-38,vm2,1.45956,3.7837824890002594,5.24332,1.4555643359999522
66,task-1-66,vm3,1.537399,7.944048171999839,9.481433,1.53267972499998
67,task-2-67,vm3,1.670049,8.306308725000235,9.976336,1.665326233000087
107,task-10-107,vm4,2.428347,21.449453208999785,23.87778,2.4235541319999356
40,task-1-40,vm2,5.107478,0.4096958380000615,5.517159,5.103481413999816
41,task-1-41,vm2,5.243487,0.47762119600020014,5.721084,5.23947953600009
43,task-1-43,vm2,5.517255,0.5112934660000974,6.028532,5.513254021999728
44,task-1-44,vm2,5.721263,0.4612658589999228,6.18251,5.7172482360001595
46,task-1-46,vm2,6.028648,0.4088131049998083,6.437447,6.024641124000027
48,task-1-48,vm2,6.182634,0.5625994590000118,6.745216,6.178534705999937
50,task-1-50,vm2,6.437531,0.5118873289998191,6.949403,6.43285669900024
51,task-1-51,vm2,6.74533,0.4094177189999755,7.154727,6.740648448999764
53,task-1-53,vm2,6.949508,0.45446759099968403,7.403962,6.9448246140000265
54,task-1-54,vm2,7.15488,0.5101232859997253,7.664993,7.150186294999912
57,task-1-57,vm2,7.404101,0.4658429510000133,7.869932,7.399398164000104
58,task-1-58,vm2,7.665057,0.4096624220001104,8.07471,7.6603614649998235
60,task-1-60,vm2,7.869999,0.5118987049995667,8.38189,7.865304446000209
61,task-1-61,vm2,8.074774,0.4562509389998013,8.531012,8.070073432999834
63,task-1-63,vm2,8.381949,0.41115570300007676,8.793087,8.377246305999961
135,task-6-135,vm4,8.516249,24.3426667990002,32.858902,8.511427453999659
