index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-1-0,vm4,0.0,0.19989324800008035,0.199875,4.573000296659302e-06
1,task-1-1,vm3,0.002688,0.17163697599971783,0.17431,2.5360004656249657e-06
2,task-1-2,vm4,0.002857,0.33057551700039767,0.333419,1.7809998098528013e-06
3,task-1-3,vm4,0.002991,6.837584012999287,6.84057,1.5589994291076437e-06
4,task-1-4,vm2,0.003121,0.4869136060005985,0.490021,1.714000063657295e-06
5,task-1-5,vm3,0.003233,0.287104504999661,0.290325,1.5180003174464218e-06
6,task-1-6,vm4,0.003396,0.46304790300018794,0.466432,1.491000148234889e-06
7,task-10-7,vm4,0.003519,6.8234100250001575,6.826928,3.4019994927803054e-06
8,task-1-8,vm3,0.003677,0.4202067209998859,0.42387,1.303999852098059e-06
9,task-1-9,vm1,0.003773,0.7818129539991787,0.785574,1.5010000424808823e-06
10,task-1-10,vm2,0.003864,0.26010952000069665,0.263947,1.357999281026423e-06
11,task-1-11,vm3,0.003948,0.5464081179998175,0.55034,1.0249996194033884e-06
34,task-6-34,vm4,0.004091,9.006804155999816,9.010883,1.0920002750935964e-06
36,task-5-36,vm4,0.004187,10.549070738999944,10.553248,1.2460004654712975e-06
47,task-5-47,vm4,0.004296,12.14940966299946,12.153688,9.749992386787198e-07
12,task-1-12,vm3,0.174433,0.5097266839993608,0.684143,0.1703892609994
56,task-9-56,vm4,0.200005,16.76761341600013,16.967601,0.1950639400001819
13,task-1-13,vm2,0.264076,0.45197283900051843,0.716038,0.26002490799965017
14,task-1-14,vm3,0.290431,0.5081790019994514,0.798598,0.28637674000037805
94,task-4-94,vm4,0.333534,17.656867413999862,17.990385,0.32853177600009076
15,task-1-15,vm3,0.423976,0.5686437860003934,0.992601,0.41991970100025355
107,task-10-107,vm4,0.466528,23.46147734599981,23.927999,0.4615085929999623
17,task-1-17,vm2,0.490152,0.503339060000144,0.993485,0.48609367500012013
18,task-1-18,vm3,0.550465,0.5188988130003054,1.069346,0.5463999969997531
19,task-1-19,vm3,0.684255,0.5134891300003801,1.197735,0.6801882249992559
20,task-1-20,vm2,0.716116,0.4806559610005934,1.196756,0.7120446649996666
16,task-1-16,vm1,0.78566,0.4937024010005189,1.279352,0.7816077220004445
21,task-1-21,vm3,0.798688,0.5230022849991656,1.321678,0.794610907999413
22,task-1-22,vm3,0.992819,0.46260708899990277,1.455412,0.9887375519992929
24,task-1-24,vm2,0.993793,0.4215255859999161,1.415305,0.989712564999536
25,task-1-25,vm3,1.069475,0.537000791000537,1.606458,1.0653900469997097
27,task-4-27,vm2,1.196972,3.71065882899984,4.907616,1.1928830870001548
26,task-8-26,vm3,1.198245,7.742571716999919,8.940796,1.1941283979995205
23,task-1-23,vm1,1.27943,0.5309896999997363,1.810404,1.2753557780006304
64,task-1-64,vm3,1.321776,7.751007058999676,9.072768,1.316818064000472
38,task-1-38,vm2,1.415404,3.77455893700062,5.189946,1.4111187830003473
66,task-1-66,vm3,1.455518,7.739605583999946,9.195111,1.4505615409998427
67,task-2-67,vm3,1.606606,8.089707912999984,9.696297,1.6016496610000104
28,task-1-28,vm1,1.810521,0.5124342889994296,2.322942,1.8064354839998487
29,task-1-29,vm1,2.323033,0.5115439299997888,2.834562,2.3189497139992454
30,task-1-30,vm1,2.834673,0.5119974970002659,3.346654,2.8305869920004625
31,task-1-31,vm1,3.346761,0.5045762129993818,3.851321,3.342673477000062
32,task-1-32,vm1,3.851429,0.5193645479994302,4.370772,3.8473373699998774
33,task-1-33,vm1,4.370905,0.5132884020003985,4.884177,4.366811290999976
35,task-1-35,vm1,4.884297,0.5124283649993231,5.396721,4.880102245999296
40,task-1-40,vm2,4.907724,0.4881095439995988,5.395814,4.903435555999749
41,task-1-41,vm2,5.19007,0.5113114570003745,5.701366,5.185776865000662
43,task-1-43,vm2,5.396039,0.5126391900003,5.908662,5.391740492999816
37,task-1-37,vm1,5.397029,0.5118213289997584,5.908846,5.392742128000464
44,task-1-44,vm2,5.701464,0.41039240499958396,6.111837,5.697169656000369
46,task-1-46,vm2,5.908899,0.40729021600054693,6.316172,5.904599491999761
39,task-1-39,vm1,5.909448,0.4961953700003505,6.40563,5.9051567750002505
48,task-1-48,vm2,6.11196,0.4047992329997214,6.516749,6.1075692069998695
50,task-1-50,vm2,6.316284,0.5105959200000143,6.826873,6.311362236000605
42,task-1-42,vm1,6.405724,0.4733693329999369,6.879087,6.401433811000061
51,task-1-51,vm2,6.516816,0.452746081999976,6.969557,6.511890392999703
53,task-1-53,vm2,6.826943,0.40919775600013963,7.236135,6.82201691299997
135,task-6-135,vm4,6.82711,19.25241078199997,26.07951,6.822053436000715
157,task-1-157,vm4,6.840602,19.261528826999893,26.102117,6.835509624000224
45,task-1-45,vm1,6.879121,0.5621355189996393,7.441255,6.874829469999895
54,task-1-54,vm2,6.969585,0.47161858700019366,7.441198,6.964660264000486
57,task-1-57,vm2,7.23617,0.4060705149995556,7.642222,7.231232623000324
