index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm1,0.0,137.6869999999999,137.682709,0.0
1,task-5-1,vm2,0.005729,37.70300000000134,37.71646,0.0
2,task-8-2,vm3,0.006729,80.6880000000001,80.703878,0.0
3,task-2-3,vm4,0.007831,121.01600000000144,121.025485,0.0
5,task-3-5,vm2,0.007831,31.76600000000144,31.770284,0.0
6,task-4-6,vm3,0.007831,82.64100000000144,82.658279,0.0
7,task-4-7,vm4,0.008832,119.70300000000134,119.7136,0.0
10,task-9-10,vm3,0.008832,73.70300000000134,73.719375,0.0
11,task-1-11,vm4,0.008832,121.11000000000058,121.111839,0.0
14,task-1-14,vm3,0.009829,80.79700000000048,80.81414,0.0
15,task-8-15,vm4,0.009829,125.07800000000134,125.091121,0.0
19,task-10-19,vm4,0.009829,118.64100000000144,118.653601,0.0
23,task-2-23,vm4,0.010887,125.39100000000144,125.406898,0.0
27,task-4-27,vm4,0.010887,120.75,120.756945,0.0
31,task-1-31,vm4,0.010887,121.20300000000134,121.206804,0.0
9,task-3-9,vm2,31.770284,63.88999999999942,95.663674,31.76600000000144
13,task-9-13,vm2,37.71646,76.57799999999952,114.292341,37.70300000000134
18,task-6-18,vm3,73.719375,116.4380000000001,190.143074,73.70300000000134
22,task-8-22,vm3,80.704981,116.5619999999999,197.263025,80.6880000000001
26,task-4-26,vm3,80.81414,118.17200000000048,198.971064,80.79700000000048
30,task-9-30,vm3,82.658279,125.26499999999942,207.920589,82.64100000000144
17,task-5-17,vm2,95.663674,86.11000000000058,181.782276,95.65600000000086
21,task-5-21,vm2,114.292341,95.4380000000001,209.732542,114.28100000000086
35,task-8-35,vm4,118.653601,182.79699999999866,301.453558,118.64100000000144
39,task-2-39,vm4,119.7136,182.07799999999952,301.79545,119.70300000000134
43,task-6-43,vm4,120.756945,183.21900000000096,303.975854,120.75
47,task-9-47,vm4,121.025485,187.88999999999942,308.912876,121.01600000000144
4,task-10-4,vm1,137.682709,-1.0,220.551216,137.67200000000048
25,task-3-25,vm2,181.782276,149.26499999999942,331.038742,181.76600000000144
34,task-1-34,vm3,190.143074,106.63999999999942,296.783771,190.14100000000144
38,task-6-38,vm3,197.263025,103.42200000000048,300.683345,197.25
42,task-5-42,vm3,198.972062,104.5,303.473082,198.96900000000096
46,task-4-46,vm3,207.92159,97.39099999999962,305.314424,207.90600000000086
29,task-3-29,vm2,209.732542,123.375,333.109833,209.71900000000096
8,task-7-8,vm1,220.551216,-1.0,367.150664,220.54700000000048
33,task-9-33,vm2,331.038742,81.29700000000048,412.343919,331.03100000000086
37,task-5-37,vm2,333.109833,84.85900000000038,417.960395,333.09400000000096
12,task-7-12,vm1,367.150664,88.46899999999914,455.624454,367.14100000000144
41,task-4-41,vm2,412.343919,53.32799999999952,465.667704,412.32800000000134
45,task-3-45,vm2,417.960395,49.70299999999952,467.670135,417.95300000000134
16,task-2-16,vm1,455.624454,25.764999999999418,481.380049,455.6100000000006
49,task-7-49,vm2,465.667704,12.813000000000102,478.485293,465.65600000000086
20,task-6-20,vm1,481.381045,83.125,564.502838,481.375
24,task-10-24,vm1,564.502838,-1.0,603.747185,564.5
28,task-7-28,vm1,603.747185,48.17100000000028,651.912127,603.7350000000006
32,task-7-32,vm1,651.912127,68.70399999999972,720.612351,651.9060000000009
36,task-2-36,vm1,720.612351,13.32799999999952,733.941328,720.6100000000006
40,task-3-40,vm1,733.941328,45.73400000000038,779.685346,733.9380000000001
44,task-1-44,vm1,779.685346,5.265999999999622,784.951006,779.6720000000005
48,task-6-48,vm1,784.951006,20.45300000000134,805.404488,784.9380000000001
