index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,69.26600000000144,69.26485,0.0
1,task-5-1,vm3,0.006057,51.5,51.508904,0.0
2,task-8-2,vm4,0.006057,61.375,61.390163,0.0
3,task-2-3,vm2,0.006057,58.46899999999914,58.47592,0.0
4,task-10-4,vm4,0.00754,67.10899999999856,67.121362,0.0
5,task-3-5,vm2,0.00754,57.48399999999856,57.500592,0.0
6,task-4-6,vm3,0.00754,53.28099999999904,53.291283,0.0
7,task-4-7,vm3,0.00754,55.21899999999914,55.235702,0.0
8,task-7-8,vm3,0.009033,48.71899999999914,48.727732,0.0
9,task-3-9,vm1,0.009033,85.13999999999942,85.145026,0.0
10,task-9-10,vm4,0.009033,74.125,74.136139,0.0
13,task-9-13,vm4,0.009033,79.03099999999904,79.041432,0.0
19,task-10-19,vm4,0.009033,89.07799999999952,89.084976,0.0
22,task-8-22,vm4,0.010112,82.85899999999856,82.869477,0.0
24,task-10-24,vm4,0.010112,94.85899999999856,94.87235,0.0
15,task-8-15,vm3,48.727732,62.5,111.235494,48.71899999999914
20,task-6-20,vm3,51.508904,63.92199999999866,115.437083,51.5
21,task-5-21,vm3,53.291283,64.64099999999962,117.933135,53.28099999999904
27,task-4-27,vm3,55.235702,64.625,119.859765,55.21899999999914
11,task-1-11,vm2,57.500592,37.4380000000001,94.926669,57.48399999999856
12,task-7-12,vm2,58.47592,47.20299999999952,105.69026,58.46899999999914
30,task-9-30,vm4,61.391149,77.04699999999866,138.440533,61.375
35,task-8-35,vm4,67.121362,75.76600000000144,142.881564,67.10899999999856
41,task-4-41,vm4,69.26485,74.70299999999952,143.967538,69.25
42,task-5-42,vm4,74.137138,71.28099999999904,145.416481,74.125
45,task-3-45,vm4,79.041432,66.98400000000038,146.031662,79.03099999999904
46,task-4-46,vm4,82.869477,63.98500000000058,146.856901,82.85899999999856
14,task-1-14,vm1,85.145026,76.26599999999962,161.412997,85.13999999999942
47,task-9-47,vm4,89.084976,62.64099999999962,151.728236,89.07799999999952
49,task-7-49,vm4,94.87235,59.82800000000134,154.701376,94.85899999999856
18,task-6-18,vm2,94.926669,48.78100000000086,143.710719,94.92199999999866
26,task-4-26,vm2,105.69026,41.6869999999999,147.368223,105.67199999999866
28,task-7-28,vm3,111.235494,55.40600000000086,166.643895,111.21899999999914
33,task-9-33,vm3,115.437083,60.09300000000076,175.520573,115.42199999999866
40,task-3-40,vm3,117.933135,58.60900000000038,176.537178,117.92199999999866
43,task-6-43,vm3,119.861764,61.10900000000038,180.967663,119.84399999999914
31,task-1-31,vm2,143.710719,35.92200000000048,179.639356,143.70299999999952
32,task-7-32,vm2,147.368223,43.9380000000001,191.305559,147.35899999999856
16,task-2-16,vm1,161.414063,31.70299999999952,193.12499,161.40599999999904
48,task-6-48,vm3,166.643895,40.0619999999999,206.697516,166.625
38,task-6-38,vm2,179.640356,24.03099999999904,203.675146,179.625
17,task-5-17,vm1,193.12499,70.92200000000048,264.046985,193.10899999999856
23,task-2-23,vm1,264.046985,9.688000000000102,273.730456,264.03099999999904
25,task-3-25,vm1,273.730456,21.48400000000038,295.216808,273.71899999999914
29,task-3-29,vm1,295.216808,54.0619999999999,349.283798,295.2029999999995
34,task-1-34,vm1,349.284794,19.96899999999914,369.239935,349.2649999999994
36,task-2-36,vm1,369.240931,21.04700000000048,390.297141,369.23399999999856
37,task-5-37,vm1,390.298143,11.67200000000048,401.965047,390.28099999999904
39,task-2-39,vm1,401.965047,5.125,407.095556,401.9529999999995
44,task-1-44,vm1,407.095556,1.3439999999991414,408.43309,407.0779999999995
