index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,39.4380000000001,39.437839,0.0
1,task-5-1,vm3,0.009574,28.03100000000086,28.040626,0.0
2,task-8-2,vm4,0.009574,49.20300000000134,49.213605,0.0
3,task-2-3,vm2,0.009574,56.6869999999999,56.695987,0.0
4,task-10-4,vm4,0.010985,45.35900000000038,45.375004,0.0
5,task-3-5,vm2,0.011494,58.8119999999999,58.82358,0.0
6,task-4-6,vm3,0.011494,29.936999999999898,29.951133,0.0
7,task-4-7,vm3,0.011494,25.25,25.260417,0.0
8,task-7-8,vm3,0.012756,35.25,35.267813,0.0
9,task-3-9,vm1,0.012756,64.28100000000086,64.291504,0.0
10,task-9-10,vm4,0.012756,63.82800000000134,63.836178,0.0
13,task-9-13,vm4,0.012756,68.625,68.639637,0.0
19,task-10-19,vm4,0.014061,55.21800000000076,55.234708,0.0
22,task-8-22,vm4,0.014061,58.98400000000038,59.003904,0.0
24,task-10-24,vm4,0.014061,75.0619999999999,75.070509,0.0
15,task-8-15,vm3,25.261416,87.57800000000134,112.845168,25.25
20,task-6-20,vm3,28.040626,88.82799999999952,116.875886,28.03100000000086
21,task-5-21,vm3,29.952133,89.67200000000048,119.623529,29.936999999999898
27,task-4-27,vm3,35.267813,86.09300000000076,121.353737,35.25
30,task-9-30,vm4,39.438853,97.13999999999942,136.573949,39.42200000000048
35,task-8-35,vm4,45.375004,94.9380000000001,140.303365,45.35900000000038
41,task-4-41,vm4,49.213605,92.0619999999999,141.276527,49.20300000000134
42,task-5-42,vm4,55.234708,87.5630000000001,142.796368,55.21800000000076
11,task-1-11,vm2,56.695987,54.86000000000058,111.566566,56.6869999999999
12,task-7-12,vm2,58.82358,63.5630000000001,122.384866,58.8119999999999
45,task-3-45,vm4,59.003904,84.375,143.371293,58.98400000000038
46,task-4-46,vm4,63.836178,80.59399999999914,144.43267,63.82800000000134
14,task-1-14,vm1,64.291504,76.03099999999904,140.324349,64.28100000000086
47,task-9-47,vm4,68.639637,80.51500000000124,149.152492,68.625
49,task-7-49,vm4,75.070509,77.0630000000001,152.145276,75.0619999999999
18,task-6-18,vm2,111.566566,100.59300000000076,212.155342,111.54700000000048
28,task-7-28,vm3,112.845168,65.21899999999914,178.065177,112.82800000000134
33,task-9-33,vm3,116.875886,69.92200000000048,186.791621,116.85900000000038
40,task-3-40,vm3,119.623529,68.75,188.367072,119.60900000000038
43,task-6-43,vm3,121.353737,71.0,192.355405,121.34300000000076
26,task-4-26,vm2,122.384866,92.96800000000076,215.361531,122.375
16,task-2-16,vm1,140.324349,46.25,186.57406,140.3119999999999
48,task-6-48,vm3,178.066177,33.84300000000076,211.908763,178.04700000000048
17,task-5-17,vm1,186.575159,42.61000000000058,229.185299,186.5619999999999
31,task-1-31,vm2,212.155342,16.563000000000102,228.710267,212.14000000000124
32,task-7-32,vm2,215.361531,23.42200000000048,238.784279,215.34300000000076
38,task-6-38,vm2,228.71127,33.79699999999866,262.505482,228.70300000000134
23,task-2-23,vm1,229.185299,81.1869999999999,310.377101,229.17200000000048
25,task-3-25,vm1,310.377101,9.79700000000048,320.166193,310.3590000000004
29,task-3-29,vm1,320.166193,42.95299999999952,363.119944,320.15600000000086
34,task-1-34,vm1,363.119944,86.10900000000038,449.229754,363.1090000000004
36,task-2-36,vm1,449.229754,30.625,479.859853,449.21800000000076
37,task-5-37,vm1,479.859853,33.14099999999962,512.993293,479.84300000000076
39,task-2-39,vm1,512.993293,3.2190000000009604,516.211335,512.9840000000004
44,task-1-44,vm1,516.212336,4.421999999998661,520.638849,516.2030000000013
