index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm4,0.0,6.389999999999418,6.392099,0.0
1,task-1-1,vm3,0.0,0.17199999999866122,0.173221,0.0
2,task-10-2,vm4,0.0,12.592999999997119,12.594666,0.0
3,task-1-3,vm2,0.009071,23.64099999999962,23.653396,0.0
4,task-10-4,vm3,0.009071,21.79699999999866,21.820836,0.0
5,task-1-5,vm1,0.009382,40.0779999999977,40.100072,0.0
6,task-1-6,vm2,0.009901,23.406999999999243,23.422968,0.0
7,task-10-7,vm4,0.009901,18.906999999999243,18.929546,0.0
9,task-10-9,vm4,0.010428,50.3279999999977,50.35136,0.0
11,task-10-11,vm3,0.010428,10.937999999998283,10.957549,0.0
16,task-10-16,vm4,0.010428,38.11000000000058,38.12274,0.0
17,task-10-17,vm4,0.010428,31.906999999999243,31.921932,0.0
19,task-10-19,vm3,0.011436,32.89099999999962,32.899689,0.0
22,task-10-22,vm4,0.011436,25.59400000000096,25.607683,0.0
23,task-10-23,vm4,0.011436,44.18799999999828,44.210774,0.0
25,task-10-25,vm3,0.173221,43.75,43.918092,0.1569999999992433
29,task-10-29,vm4,6.392099,50.17199999999866,56.562433,6.375
8,task-1-8,vm2,23.422968,22.843000000000757,46.269644,23.406999999999243
12,task-1-12,vm2,23.653396,22.82800000000134,46.478776,23.64099999999962
10,task-1-10,vm1,40.100072,1.7820000000028813,41.88084,40.0779999999977
14,task-1-14,vm1,41.881369,1.7809999999990396,43.651837,41.86000000000058
15,task-1-15,vm1,43.651837,84.76599999999962,128.422641,43.64099999999962
13,task-10-13,vm2,46.269644,41.40699999999924,87.669324,46.25
27,task-10-27,vm2,46.478776,62.40599999999904,108.884544,46.46900000000096
18,task-1-18,vm1,128.422641,0.8120000000017171,129.229078,128.40699999999924
20,task-1-20,vm1,129.229078,0.7969999999986612,130.035805,129.21900000000096
21,task-1-21,vm1,130.035805,81.31199999999808,211.340553,130.01599999999962
24,task-1-24,vm1,211.340553,45.20400000000154,256.546884,211.3279999999977
26,task-1-26,vm1,256.546884,68.75,325.294471,256.53199999999924
28,task-10-28,vm1,325.294471,-1.0,356.606148,325.28199999999924
