index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-10-0,vm4,0.0,28.71900000000096,28.711368,0.0
1,task-1-1,vm3,0.0,31.4220000000023,31.423897,0.0
2,task-10-2,vm4,0.00819,35.13999999999942,35.163475,0.0
3,task-1-3,vm2,0.008925,54.09400000000096,54.109407,0.0
4,task-10-4,vm3,0.008925,31.35900000000038,31.378355,0.0
5,task-1-5,vm1,0.008925,22.531000000002678,22.547694,0.0
6,task-1-6,vm2,0.01044,54.2970000000023,54.313226,0.0
7,task-10-7,vm4,0.01044,41.2970000000023,41.309117,0.0
9,task-10-9,vm4,0.01044,61.35900000000038,61.376721,0.0
11,task-10-11,vm3,0.01044,53.48400000000038,53.493908,0.0
16,task-10-16,vm4,0.01044,48.96900000000096,48.987769,0.0
17,task-10-17,vm4,0.01044,73.75,73.767295,0.0
19,task-10-19,vm3,0.01044,42.51499999999942,42.537478,0.0
22,task-10-22,vm4,0.01044,55.1720000000023,55.18407,0.0
23,task-10-23,vm4,0.01044,67.71900000000096,67.727895,0.0
10,task-1-10,vm1,22.547694,96.375,118.926093,22.531000000002678
29,task-10-29,vm4,28.711368,51.18699999999808,79.909091,28.70300000000134
25,task-10-25,vm3,31.379157,62.6720000000023,94.041968,31.35900000000038
8,task-1-8,vm2,54.111928,35.43700000000172,89.539616,54.09400000000096
12,task-1-12,vm2,54.313226,35.43699999999808,89.744473,54.2970000000023
13,task-10-13,vm2,89.540472,112.3279999999977,201.870546,89.53100000000268
27,task-10-27,vm2,89.744473,133.21900000000096,222.964588,89.73400000000038
14,task-1-14,vm1,118.926093,179.31299999999828,298.226244,118.90600000000268
15,task-1-15,vm1,298.226244,280.96800000000076,579.209789,298.21900000000096
18,task-1-18,vm1,579.209789,92.31299999999828,671.523048,579.1870000000017
20,task-1-20,vm1,671.523048,31.937000000001717,703.460226,671.5
21,task-1-21,vm1,703.460226,105.39099999999962,808.841321,703.4370000000017
24,task-1-24,vm1,808.841321,63.76599999999962,872.614732,808.8280000000013
26,task-1-26,vm1,872.614732,73.88999999999942,946.498891,872.594000000001
28,task-10-28,vm1,946.498891,-1.0,1246.50959,946.4840000000004
